Mineral,Year,Import_Value,Domestic_Production_Qty,Domestic_Production_Val,Dependency_Ratio
Bauxite,2019,1222.13,21825227.0,16299333.0,7.497474719439203e-05
Bauxite,2020,1080.88,20380548.0,16793447.0,6.43590583625266e-05
Bauxite,2021,1370.11,22494049.0,25284168.0,5.418551877518259e-05
Bauxite,2022,1894.61,23844337.0,27371722.0,6.921299538139473e-05
Bauxite,2023,2340.3,23925514.0,25651109.0,9.122749820625487e-05
Bauxite,2024,2822.16,24705314.0,28076812.0,0.00010050558294025865
Chromite,2019,315.44,3929260.0,32134395.0,9.816176828136373e-06
Chromite,2020,206.5,2830413.0,21862796.0,9.445180276588268e-06
Chromite,2021,225.77,3785625.0,47969166.0,4.706542894738063e-06
Chromite,2022,423.25,3557289.0,46633415.0,9.076027534576784e-06
Chromite,2023,296.99,3147954.0,48614248.0,6.1090770274840745e-06
Chromite,2024,456.39,3026273.0,45561598.0,1.0016888090545997e-05
Copper Ores & Conc.,2019,12146.2,4077058.0,8448405.0,0.0014356275037966796
Copper Ores & Conc.,2020,8667.52,3381633.0,8533354.0,0.0010146918946184066
Copper Ores & Conc.,2021,5907.16,368945.0,11024312.0,0.0005355433028404124
Copper Ores & Conc.,2022,22381.43,3439082.0,10208275.0,0.002187682692028394
Copper Ores & Conc.,2023,27374.43,3907486.0,12994753.0,0.0021021472986768337
Copper Ores & Conc.,2024,25951.23,3662023.0,11810755.0,0.002192436772167826
Graphite(Natural),2019,232.89,34674.0,55907.0,0.004148387180666011
Graphite(Natural),2020,186.32,35386.0,87147.0,0.002133435440219151
Graphite(Natural),2021,180.82,62888.0,122148.0,0.001478147177419025
Graphite(Natural),2022,265.16,94789.0,180152.0,0.0014697049881507945
Graphite(Natural),2023,293.95,169080.0,218403.0,0.001344097391390232
Graphite(Natural),2024,320.31,85329.0,133163.0,0.0023996258408635505
Iron Ore,2019,5913.67,244083.0,496430578.0,1.1912238723842723e-05
Iron Ore,2020,940.98,205042.0,527292469.0,1.7845472410430674e-06
Iron Ore,2021,844.52,254099.0,1008260000.0,8.376007107585818e-07
Iron Ore,2022,3538.93,258312.0,834001723.0,4.243294570840526e-06
Iron Ore,2023,1594.75,277339.0,996579911.0,1.6002203440448504e-06
Iron Ore,2024,4396.84,289395.0,1032585636.0,4.2580693791001285e-06
Kyanite,2019,2.76,3498.0,12728.0,0.00021679774027630712
Kyanite,2020,3.35,4925.0,9251.0,0.0003619919281202894
Kyanite,2021,4.21,9320.0,17267.0,0.00024375825434349996
Kyanite,2022,5.34,2765.0,5320.0,0.0010027528758727142
Kyanite,2023,6.31,3324.0,8036.0,0.0007846004443996811
Kyanite,2024,8.14,2055.0,5445.0,0.0014927179569935855
Limestone,2019,3666.52,359464.0,88890081.0,4.124609550491814e-05
Limestone,2020,3742.99,349120.0,86484125.0,4.32776305739526e-05
Limestone,2021,3291.18,392034.0,102022623.0,3.225827503190523e-05
Limestone,2022,4901.46,405664.0,112012598.0,4.3756199019156365e-05
Limestone,2023,6259.36,451045.0,123575876.0,5.0649391853978074e-05
Limestone,2024,6615.77,449581.0,118635050.0,5.576261895062568e-05
Magnesite,2019,1072.99,102554.0,351947.0,0.0030394596068058356
Magnesite,2020,928.3,74661.0,314677.0,0.0029413321005699205
Magnesite,2021,749.83,113497.0,554771.0,0.0013497783692467482
Magnesite,2022,1278.88,107525.0,502587.0,0.0025381357435831932
Magnesite,2023,1529.06,132005.0,608866.0,0.002505033379529644
Magnesite,2024,1479.92,110037.0,496440.0,0.002972204847719288
Manganese Ore,2019,4848.45,2910186.0,18849100.0,0.00025715833544670585
Manganese Ore,2020,4128.21,2703313.0,17415460.0,0.00023698665836601886
Manganese Ore,2021,5524.21,2692408.0,22067826.0,0.00025026604241966584
Manganese Ore,2022,9642.48,2826964.0,22822578.0,0.0004223189771860507
Manganese Ore,2023,8262.1,3441764.0,24984809.0,0.00033057562101681853
Manganese Ore,2024,7759.61,3801506.0,29868284.0,0.0002597268266606336
Sillimanite,2019,0.24,13221.0,37903.0,6.331912522517864e-06
Sillimanite,2020,1.06,11110.0,13987.0,7.577891430262667e-05
Sillimanite,2021,1.16,3432.0,8000.0,0.000144978978048183
Sillimanite,2022,1.06,1437.0,3757.0,0.00028206042479364356
Sillimanite,2023,0.34,771.0,2307.0,0.00014735582965666092
Sillimanite,2024,0.31,326.0,1022.0,0.00030323483092212737
Vermiculite,2019,1.62,2774.0,3347.0,0.0004837813785977508
Vermiculite,2020,1.1,1260.0,2157.0,0.0005097076131782587
Vermiculite,2021,1.72,3060.0,3765.0,0.00045663070257412287
Vermiculite,2022,2.55,2303.0,1610.0,0.0015813463148429505
Vermiculite,2023,7.39,1129.0,731.0,0.010008261216972061
Vermiculite,2024,1.96,2736.0,1687.0,0.0011604774535809018
Wollastonite,2019,33.16,124757.0,139695.0,0.00023731794650412626
Wollastonite,2020,29.48,103902.0,122210.0,0.0002411659473682316
Wollastonite,2021,37.04,108335.0,149156.0,0.0002482689541013441
Wollastonite,2022,67.57,110793.0,151761.0,0.00044504140426271545
Wollastonite,2023,87.72,110637.0,156133.0,0.0005615132230859005
Wollastonite,2024,103.76,124052.0,496419.0,0.0002089733006398337
Gold Primary,2019,229536.5,1742.0,6495723.0,0.03413050455525173
Gold Primary,2020,199249.5,1127.0,5475470.0,0.03511177953377255
Gold Primary,2021,254288.47,1407.0,6761018.0,0.03624766374604302
Gold Primary,2022,344092.82,1433.0,7654672.0,0.0430182444093912
Gold Primary,2023,280480.16,1586.0,9654301.0,0.028232142760153157
Gold Primary,2024,377252.13,1627.0,12551045.0,0.029180341866106227
Phosphorite,2019,5624.52,1400189.0,4731314.0,0.0011873744985822618
Phosphorite,2020,5402.05,1455829.0,4694525.0,0.0011493901804284388
Phosphorite,2021,5316.43,1394959.0,6648070.0,0.0007990562484133363
Phosphorite,2022,10433.1,1978450.0,12354618.0,0.0008437571277000222
Phosphorite,2023,15125.2,1557783.0,11436102.0,0.0013208365999410091
Phosphorite,2024,12648.56,1805914.0,12140360.0,0.0010407760298656449
Silver,2019,26188.63,609340.0,25616104.0,0.001021306104640613
Silver,2020,19161.79,705796.0,42664424.0,0.0004489264349596717
Silver,2021,5960.28,647156.0,42126921.0,0.00014146385955401717
Silver,2022,24454.28,713768.0,43814376.0,0.0005578223653279464
Silver,2023,42237.09,745980.0,53559386.0,0.0007879815491609583
Silver,2024,45164.75,691384.0,59380181.0,0.0007600250268632219
Moulding Sand,2019,1.4,12905.0,3766.0,0.00037160906726124113
