Mineral,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value 
Asbestos,"1,112",3.39,"1,001",3.1,298,1.2,"1,906",6.8,"3,286",21.75,"                       1,205",                         8.15,1,0.02
Bauxite,"15,02,915",302.76,"4,84,225",132.25,"63,886",56.24,"1,02,042",49.86,"95,407",40.04,"                     54,628",                       15.61,"359,315",113.58
Chromite,"39,273",133.77,"33,898",86.79,"2,872",7.2,"2,626",8.97,"33,881",90.42,"                       2,117",                         9.94,560,2.85
Copper Ores & Conc.,"1,81,642","1,662.76","2,12,659","2,045.09","82,463",768.94,"34,827",396.46,"26,336",243.54,"                     23,188",                     243.03,"16,426",196.83
Silicious Earth,"52,175",42.62,"4,518",7.76,"3,728",7.49,"2,047",6.07,"2,093",6.76,"                       2,768",                         7.41,"4,436",0.4
Flint,790,1.04,"1,195",0.8,406,0.3,570,0.58,976,0.87,                          689,                         0.63,"1,057",-
Fluorspar,526,2.31,"1,367",5.15,474,2.24,717,3.84,954,6.29,"                       1,177",                         7.00,901,0.81
Garnet(Abrasive),"1,04,343",178.39,"74,697",125.45,"76,799",126.56,"81,270",143.37,"1,03,398",190.38,"                   146,915",                     277.15,"154,336",307.39
Graphite(Natural),405,2.3,609,3.26,720,4.3,768,4.7,"2,240",12,                          710,                         6.33,"1,839",16.08
Iron Ore,"1,70,53,670","9,262.61","3,73,03,850","18,609.27","5,84,05,280","36,255.60","2,64,96,516","24,148.04","2,11,68,464","14,429.97","              46,374,884","                32,433.33","30,012,139","17,623.99"
Kyanite,284,0.49,143,0.26,252,0.9,"1,654",1.54,297,0.86,                          199,                         0.86,198,0.68
Lead Ores & Conc.,37,0.2,3.1,0.02,11,0.11,12,0.16,137,0.75,                            58,                         0.29,8,0.16
Limestone,"38,83,757",494.75,"37,60,405",465.66,"35,28,974","4,293.91","1,21,60,350",455.15,"21,71,425",227.93,"                1,196,524",                     151.97,"2,409,628",275.14
Magnesite,"5,916",19.64,"5,383",14.54,"5,260",16.58,"4,953",16.23,"4,809",22.9,"                       2,750",                       21.78,"4,579",39.83
Manganese Ore,"55,845",13.81,"58,198",25.46,"82,364",97.49,"1,13,607",58.82,"1,558",2.16,                          271,                         0.22,"13,181",20.96
Salt (Other Than Common Salt),"1,23,913",18.83,"5,39,861",55.9,"3,17,378",48.91,"1,39,167",27.7,"2,25,484",62.08,"                   310,135",                       81.14,"223,517",65.82
Sillimanite,"9,986",11.19,"1,026",1.5,"4,999",9.44,"3,121",6.44,"2,160",7.4,"                       3,293",                       11.59,567,1.52
Tin Ores & Conc.,0,0.01,0,0,0,0,0,0,0.02,0,0,0,-,-
Vermiculite,583,0.73,634,0.79,854,1.16,"1,264",2.18,990,1.29,                          843,                         1.76,949,2.48
Wollastonite,"13,786",27.91,"14,583",29.86,"13,718",31.18,"11,705",28.23,"12,848",36.57,"                     12,286",                       34.87,"10,230",30.77
Zinc Ores & Conc.,"2,079",7.12,317,1.58,399,2.07,"1,762",4.68,"43,877",18.24,"                     19,902",                         6.41,7,0.13
Diamond*,"61,528","1,75,787.45","43,231","1,40,012.95","37,903","1,25,803.39","52,698","1,89,335.09","44,625","1,83,697.26","                     36,797","              139,484.16","30,470","116,387.74"
Emerald,0,0,0,0,0.13,4.57,0.69,21.27,1.77,9.47,                              1,                       10.11,1,22.07
Gold ores and concentrates,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Gold Primary,0.51,144.13,1.73,574.27,4.19,"1,889.57",0.13,46.4,2.62,"1,192.02",                              2,                     816.29,11,"7,851.26"
Phosphorite,"1,351",4.51,16,0.03,661,0.45,292,1.03,474,1.91,                          333,                         0.20,902,1.37
Silver,35,81.84,33,68.01,620,"3,393.50",94,363.36,132,573.73,                          134,                     525.27,581,"4,027.65"
Silver ores and concentrates,0,0,0,0,73,0.02,0,0,26,0.03,0,0,-,-
Moulding Sand,"2,144",1.34,"1,420",1.15,854,0.74,518,0.6,90,0.23,                          376,                         0.42,171,0.33
Sulphur,"4,79,651",433.25,"8,02,175",387.28,"8,02,715",432.86,"12,90,620","2,101.05","15,54,799","3,326.30","                1,185,639","                  1,034.61","819,255",982.71
 Total  ,**,"1,88,639.15",**,"1,62,658.20",**,"1,73,256.92",**,"2,17,238.62",**,"2,04,223.11", ** ,175190.51, ** ,"147,973"
 Total (excl. precious stones) ,**,"12,192.47",**,"21,615.69",**,"41,733.02",**,"25,371.45",**,"15,424.33", ** ,33320.08, ** ,"19,684"
