Mineral,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value ,Quantity ,Value 
Asbestos,"3,64,105","1,225.31","3,61,164","1,243.23","3,08,506","1,185.11","4,37,509","1,663.14","4,04,152","2,294.04","465,449","2,326.04","376,521","2,119"
Bauxite,"20,75,104","1,222.13","22,46,464","1,080.88","30,33,706","1,370.11","30,08,588","1,894.61","35,95,844","2,340.30","4,502,798","2,822.16","3,140,478","2,568"
Chromite,"1,62,663",315.44,"1,24,693",206.5,"1,56,211",225.77,"2,45,711",423.25,"1,11,291",296.99,172410.21,456.39,"257,372",761
Copper Ores & Conc.,"8,23,938","12,146.20","8,21,555","8,667.52","4,15,136","5,907.16","10,18,935","22,381.43","11,78,920","27,374.43",1016300.97,"25,951.23","1,175,592","32,558"
Silicious Earth,"3,972",15.67,"5,230",16.35,"7,375",22.65,"2,187",11.62,"4,192",27.96,"2,634",18.4,"4,735",34
Flint,"6,887",7.6,"6,279",6.24,"9,209",8.52,"8,611",8.32,"7,874",8.22,"9,617",7.29,"6,684",5
Fluorspar,"2,58,614",713.38,"2,32,188",707.17,"2,13,519",593.19,"2,81,049",766.68,"3,04,842","1,134.04",252525.7,"1,029.53","331,440","1,292"
Garnet(Abrasive),422,0.64,391,0.62,345,1.47,140,0.18,30,0.09,3086,6.74,166,0
Graphite(Natural),"47,053",232.89,"41,405",186.32,"40,151",180.82,"54,052",265.16,"45,994",293.95,"54,784",320.31,"60,345",356
Iron Ore,"1,68,31,630","5,913.67","75,15,830",940.98,"72,42,200",844.52,"66,81,975","3,538.93","17,91,399","1,594.75","4,959,381","4,396.84","6,404,833","5,360"
Kyanite,997,2.76,"1,112",3.35,"1,238",4.21,"1,668",5.34,"1,354",6.31,1691.19,8.14,"1,630",8
Lead Ores & Conc.,"1,499",8.55,"3,283",16.67,"5,471",32.51,"5,324",25.52,"5,559",29.44,4875.2,36.33,"6,549",46
Limestone,"2,43,97,170","3,666.52","2,56,39,511","3,742.99","2,27,97,800","3,291.18","2,75,82,769","4,901.46","2,97,36,038","6,259.36","33,809,130","6,615.77","33,867,635","6,817"
Magnesite,"3,48,827","1,072.99","3,01,180",928.3,"3,06,587",749.83,"3,74,008","1,278.88","4,75,019","1,529.06","472,307","1,479.92","542,647","1,677"
Manganese Ore,"27,56,577","4,848.45","28,42,617","4,128.21","39,52,005","5,524.21","65,00,148","9,642.48","46,41,808","8,262.10",5598579.22,"7,759.61","6,580,106","10,275"
Salt (Other Than Common Salt),"74,457",25.24,"60,440",22.68,"52,652",25.22,"42,396",25.85,"45,106",36.34,37760.34,33.97,"25,966",25
Sillimanite,97,0.24,608,1.06,607,1.16,418,1.06,59,0.34,12,0.31,29,0.3
Tin Ores & Conc.,6.43,0.13,0.14,0.02,2,0.09,0,0.03,0.08,0.04,0,0.02,-,-
Vermiculite,610,1.62,416,1.1,696,1.72,"1,096",2.55,"2,292",7.39,626.96,1.96,"1,576",5
Wollastonite,"26,484",33.16,"22,618",29.48,"24,048",37.04,"30,624",67.57,"41,436",87.72,62409.77,103.76,"79,676",160
Zinc Ores & Conc.,"1,422",3.88,101,0.27,804,0.95,721,2.48,"1,041",3.94,455,1.07,-,-
Diamond*,"1,67,266","1,77,763.64","1,55,367","1,48,554.08","1,22,363","1,28,161.35","1,72,129","2,05,351.56","1,40,873","2,07,464.07","155,614","178,708.95","109,871","137,142"
Emerald,0,0,0,0,50,664,58,"1,400.77",64,"2,327.94",63.24,"2,274.81",78,"2,212"
Gold ores and concentrates,0,0,0.27,0.07,11,4.85,799,237.65,"2,464",733.64,3619.77,867.57,"5,952","1,182"
Gold Primary,983,"2,29,536.50",720,"1,99,249.50",651,"2,54,288.47",879,"3,44,092.82",678,"2,80,480.16",795,"377,252.13",757,"489,749"
Phosphorite,"75,04,118","5,624.52","76,38,406","5,402.05","77,25,833","5,316.43","96,25,716","10,433.10","90,89,705","15,125.20","8,802,077","12,648.56","11,948,089","16,375"
Silver,"7,474","26,188.63","5,422","19,161.79","1,486","5,960.28","4,422","24,454.28","8,157","42,237.09",7336.7,"45,164.75","5,164","40,929"
Silver ores and concentrates,0,0,0,0,0,0,0,0,77,1,0,0,0,-
Moulding Sand,731,1.4,545,1.63,569,2.08,910,2.25,818,2.19,885,2.88,"2,327",5
Sulphur,"13,46,777","1,521.97","12,35,103",823.97,"14,63,292","1,094.83","18,95,210","3,536.21","13,37,789","2,676.66","1,708,663","1,736.60","2,195,322","2,750"
 Total  ,**,"4,72,093.10",**,"3,95,123.03",**,"4,15,499.72",**,"6,36,415.20",**,"6,02,634.76",**,672032.03,**,"754,409"
 Total (excl. precious stones) ,**,"38,604",**,"25,185",**,"26,426",**,"61,116",**,"70,125",**,"68,631",**,"84,377"
