State,Mineral,Year,Quantity,Value_Cr
India,Bauxite,2019,28123789,15437694
Chhattisgarh,Bauxite,2019,1991455,1314345
Goa,Bauxite,2019,163950,40960
Gujarat,Bauxite,2019,10387092,4857172
Jharkhand,Bauxite,2019,2111227,1399189
Karnataka,Bauxite,2019,12050,5423
Madhya Pradesh,Bauxite,2019,684288,479401
Maharashtra,Bauxite,2019,1907543,1043950
Odisha,Bauxite,2019,10839038,6278252
Tamil Nadu,Bauxite,2019,27146,19002
India,Chromite,2019,2915584,21214490
Karnataka,Chromite,2019,1808,10884
Maharashtra,Chromite,2019,90,432
Odisha,Chromite,2019,2913686,21203174
Jharkhand,Copper Ores & Conc,2019,275825,286142
Madhya Pradesh,Copper Ores & Conc,2019,2615861,3315629
Rajasthan,Copper Ores & Conc,2019,1167974,2946547
Jharkhand,Gold Ore,2019,4153,0
Karnataka,Gold Ore,2019,558803,0
India,Gold,2019,1323,3214623
Jharkhand,Gold,2019,13,35871
Karnataka,Gold,2019,1310,3178752
India,Iron Ore,2019,158108,223206636
Andhra Pradesh,Iron Ore,2019,493,283258
Chhattisgarh,Iron Ore,2019,26718,52780037
Goa,Iron Ore,2019,1794,2132157
Jharkhand,Iron Ore,2019,19198,16494215
Karnataka,Iron Ore,2019,25036,34659850
Madhya Pradesh,Iron Ore,2019,2447,1475651
Maharashtra,Iron Ore,2019,1420,1500657
Odisha,Iron Ore,2019,79856,112112226
Rajasthan,Iron Ore,2019,1146,1768585
Telangana,Iron Ore,2019,0,0
India,Lead & Zinc Ore,2019,10453038,0
Rajasthan,Lead & Zinc Ore,2019,10453038,0
India,Lead Conc.,2019,261857,7885122
Rajasthan,Lead Conc.,2019,261857,7885122
India,Zinc Conc.,2019,1473811,34943088
Rajasthan,Zinc Conc.,2019,1473811,34943088
India,Manganese Ore,2019,2166947,8545510
Andhra Pradesh,Manganese Ore,2019,186632,328949
Gujarat,Manganese Ore,2019,46153,19633
Jharkhand,Manganese Ore,2019,509,3161
Karnataka,Manganese Ore,2019,145623,410733
Madhya Pradesh,Manganese Ore,2019,766776,3334907
Maharashtra,Manganese Ore,2019,620672,2803625
Odisha,Manganese Ore,2019,390233,1616875
Rajasthan,Manganese Ore,2019,3457,10350
Telangana,Manganese Ore,2019,6892,17277
India,Silver,2019,426443,15212374
Karnataka,Silver,2019,122,4048
Rajasthan,Silver,2019,426321,15208326
India,Tin Conc.,2019,13541,9231
Chhattisgarh,Tin Conc.,2019,13541,9231
India,Apatite,2019,110,387
Andhra Pradesh,Apatite,2019,110,387
India,Phosphorite,2019,1571863,3763823
Madhya Pradesh,Phosphorite,2019,66260,55602
Rajasthan,Phosphorite,2019,1505603,3708221
India,Diamond,2019,36044,621441
Madhya Pradesh,Diamond,2019,36044,621441
India,Fluorite(graded),2019,2333,12965
Maharashtra,Fluorite(graded),2019,2333,12965
India,Flint Stone,2019,253,76
Jharkhand,Flint Stone,2019,253,76
India,Garnet (abrasive),2019,82001,648124
Andhra Pradesh,Garnet (abrasive),2019,55583,471079
Odisha,Garnet (abrasive),2019,14767,93564
Rajasthan,Garnet (abrasive),2019,958,1744
Tamil Nadu,Garnet (abrasive),2019,10693,81737
India,Graphite(Natural),2019,135528,106487
Jharkhand,Graphite(Natural),2019,36270,22914
Kerala,Graphite(Natural),2019,650,5200
Odisha,Graphite(Natural),2019,7783,4865
Tamil Nadu,Graphite(Natural),2019,90825,73508
India,Kyanite,2019,2901,14180
Maharashtra,Kyanite,2019,2901,14180
India,Sillimanite,2019,69942,509314
Andhra Pradesh,Sillimanite,2019,42409,340841
Kerala,Sillimanite,2019,5121,49585
Maharashtra,Sillimanite,2019,9019,27133
Meghalaya,Sillimanite,2019,,
Odisha,Sillimanite,2019,13393,91755
India,Limestone,2019,307001,68673970
Andhra Pradesh,Limestone,2019,32579,6556564
Assam,Limestone,2019,777,230415
Bihar,Limestone,2019,459,172141
Chhattisgarh,Limestone,2019,27667,7013331
Gujarat,Limestone,2019,25622,4370924
Himachal Pradesh,Limestone,2019,12390,2180979
Jammu & Kashmir,Limestone,2019,1232,395375
Jharkhand,Limestone,2019,1076,509938
Karnataka,Limestone,2019,27062,4325671
Kerala,Limestone,2019,487,353323
Madhya Pradesh,Limestone,2019,39430,8868182
Maharashtra,Limestone,2019,13036,2842122
Meghalaya,Limestone,2019,3834,2622258
Odisha,Limestone,2019,4532,1489611
Rajasthan,Limestone,2019,67336,15253871
Tamil Nadu,Limestone,2019,23008,6623612
Telangana,Limestone,2019,23878,4437332
Uttar Pradesh,Limestone,2019,2596,428321
India,Limeshell,2019,10353,28613
Karnataka,Limeshell,2019,1221,1258
Kerala,Limeshell,2019,9132,27355
India,Magnesite,2019,327663,827072
Karnataka,Magnesite,2019,8161,39962
Tamil Nadu,Magnesite,2019,264913,705318
Uttarakhand,Magnesite,2019,54589,81792
